name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
team vitaale Gesundheits- service GmbH,Lange Wende 5 a,59069.0,Hamm,https://www.google.de/search?q=team+vitaale+Gesundheits-+service+GmbH+Lange+Wende+5+a+59069+Hamm,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sanitätshaus Richts + Chedor,Werler Str. 113,59063.0,Hamm,https://www.google.de/search?q=Sanit%C3%A4tshaus+Richts+%2B+Chedor+Werler+Str.+113+59063+Hamm,Inkontinenzhilfen%2C+ableitend,,"Runtestraße 35, 59457 Werl",,,,"Erwerb und Verwaltung von Beteiligungen sowie Übernahme der persönlichen Haftung und Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Sanitätshaus Richts + Chedor Orthopädietechnik GmbH & Co. KG, den Einzelhandel mit Textilien aller Art und Bademoden sowie Waren aus dem orthopädischen Bereich, Betreiben einer orthopädischen Werkstatt, Schuhreparatur, Herstellung und Vertrieb orthopädischer Maßschuhe und orthopädischer Schuhzurichtungen zum Gegenstand hat.","Christian Chedor, Lothar Chedor",HRB 4520 Amtsgericht Arnsberg,,,https://www.companyhouse.de/Sanitaetshaus-Richts-Chedor-Verwaltungs-GmbH-Werl
Sanitätshaus Röther GmbH,Auf'm Möhnert 11,59755.0,Arnsberg,https://www.google.de/search?q=Sanit%C3%A4tshaus+R%C3%B6ther+GmbH+Auf%27m+M%C3%B6hnert+11+59755+Arnsberg,Inkontinenzhilfen%2C+ableitend,+49 2932 475750,"Lange Wende 38, 59755 Arnsberg",,,Großhandel,Sanitätshaus,"Dr. Klaus Johannes Röther, Monika Röther",HRB 1688 Amtsgericht Arnsberg,,,https://www.companyhouse.de/Sanitaetshaus-Roether-GmbH-Arnsberg
FEDO GmbH & Co. KG,Am Güterbahnhof 14,46284.0,Dorsten,https://www.google.de/search?q=FEDO+GmbH+%26+Co.+KG+Am+G%C3%BCterbahnhof+14+46284+Dorsten,Inkontinenzhilfen%2C+ableitend,+49 2362 6776150,"Am Güterbahnhof 14, 46284 Dorsten",fedo-online.de,info@fedo-online.de,Sanitätshaus,"FEDO GmbH & Co. KG ist ein Unternehmen, sich auf die Bereitstellung von Sanitätshaus-Leistungen und -Produkten spezialisiert hat. Die wichtigsten Merkmale des Unternehmens sind die Fokussierung auf die Bedürfnisse von Menschen mit Inkontinenz und Angebot von innovativen Lösungen in diesem Bereich. Der Zweck der Geschäftstätigkeit von FEDO ist es, Menschen mit Inkontinenz zu unterstützen und ihnen eine bessere Lebensqualität zu bieten.",Felix Holzwarth,HRA 5013 Amtsgericht Gelsenkirchen,,,https://www.companyhouse.de/FEDO-GmbH-Co-KG-Dorsten
DRK Alfeld Seniorenzentrum Leinetal GmbH,Burgstr. 21,31028.0,Gronau,https://www.google.de/search?q=DRK+Alfeld+Seniorenzentrum+Leinetal+GmbH+Burgstr.+21+31028+Gronau,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Burgstr. 21, 31028 Gronau",,,Soziale Einrichtungen,"Erbringung von Pflege- und Betreuungsleistungen, insbesondere der stationären Alten- und Krankenhilfe im Sinne der Sozialgesetzbücher V, XI und XII - sowie Erbringung von allen damit im Zusammenhang stehenden Beratungsdienstleistungen.",Reinhard Hein,HRB 201141 Amtsgericht Hildesheim,,,https://www.companyhouse.de/DRK-Alfeld-Seniorenzentrum-Leinetal-GmbH-Gronau
Haus Sissi GmbH,Geseniusstr. 20,31008.0,Elze,https://www.google.de/search?q=Haus+Sissi+GmbH+Geseniusstr.+20+31008+Elze,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5182 6104,"Geseniusstraße 20, 31008 Elze",,,Soziale Einrichtungen,Betrieb eines Alten- und Pflegeheimes in Esbeck.,Heiko Buschmann,HRB 15391 Amtsgericht Hildesheim,,,https://www.companyhouse.de/Altenpflegeeinrichtung-Haus-Sissi-GmbH-Elze
Haus Am Herzberg,Sundernstr. 60 - 62,31224.0,Peine,https://www.google.de/search?q=Haus+Am+Herzberg+Sundernstr.+60+-+62+31224+Peine,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,Hotel- und Gaststättengewerbe,"Betrieb einer Pension/Hotel/Gaststätte und Schulungszentrum, Vereinshaus, soziale Werkstatt sowie Durchführung und Organisation von Kulturveranstaltungen.",,,,,https://www.companyhouse.de/Haus-am-Herzbergsee-GmbH-Gosen-Neu-Zittau
DOREAFAMILIE Peine,Sundernstr. 45,31224.0,Peine,https://www.google.de/search?q=DOREAFAMILIE+Peine+Sundernstr.+45+31224+Peine,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,Großhandel,Zu Geschäftszwecken stehen insgesamt 77 Pflege-Apartements mit insgesamt 110 Plätzen zur Verfügung.,"Axel Dietrich, Katrin Berents Neumann, Mathias Hennecke",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/DOREAFAMILIE-Peine-GmbH-Co-KG-Berlin
Seniorensitz Auf der Heide Edith Kleine GmbH,Auf der Heide 1,31556.0,Wölpinghausen,https://www.google.de/search?q=Seniorensitz+Auf+der+Heide+Edith+Kleine+GmbH+Auf+der+Heide+1+31556+W%C3%B6lpinghausen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Senioren- und Pflegeheim Eiklint GmbH,Eiklint 10,29227.0,Celle,https://www.google.de/search?q=Senioren-+und+Pflegeheim+Eiklint+GmbH+Eiklint+10+29227+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5141 83079,"Eiklint 10, 29227 Celle",,,Großhandel,Betrieb eines Senioren- Pflegeheimes und alle zugehörigen Geschäfte.,"Claudia Muus, Frank Neumann, Marita Horejschi Rahte",HRB 100504 Amtsgericht Lüneburg,,,https://www.companyhouse.de/Senioren-und-Pflegeheim-Eiklint-GmbH-Celle
Sanitätshaus Kemnitz Cityshop,Glockenstr. 8,31224.0,Peine,https://www.google.de/search?q=Sanit%C3%A4tshaus+Kemnitz+Cityshop+Glockenstr.+8+31224+Peine,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Haus Sozialkonzept Charlottenhof,Feldstr. 2,31226.0,Peine,https://www.google.de/search?q=Haus+Sozialkonzept+Charlottenhof+Feldstr.+2+31226+Peine,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
TinaMedic Christine Lindhorst,Ochsentrift 2,29308.0,Winsen,https://www.google.de/search?q=TinaMedic+Christine+Lindhorst+Ochsentrift+2+29308+Winsen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alloheim Senioren-Residenz Dorotheenhof,Im Moorgartenfeld 4,29690.0,Schwarmstedt,https://www.google.de/search?q=Alloheim+Senioren-Residenz+Dorotheenhof+Im+Moorgartenfeld+4+29690+Schwarmstedt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Haus am Markt,Am Markt 1 - 3,31241.0,Ilsede,https://www.google.de/search?q=Haus+am+Markt+Am+Markt+1+-+3+31241+Ilsede,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Frauenstr. 12, 80469 München",,,,,"Rainer Beck, Sebastian Beck",,,,https://www.companyhouse.de/Haus-am-Markt-OHG-Muenchen
Seniorenzentrum am Pfarrgarten GmbH,Baumschulenweg 2 - 6,31234.0,Edemissen,https://www.google.de/search?q=Seniorenzentrum+am+Pfarrgarten+GmbH+Baumschulenweg+2+-+6+31234+Edemissen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Dingolfingerstr. 15, 81673 München",,,Hotel- und Gaststättengewerbe,"Einrichtung, Betrieb, Beratung und Verwaltung von Fach- und Rehabilitationskliniken, ärztlichen versorgungs- und gesundheitstechnischen Einrichtungen von Senioren- und Pflegeheimen sowie des Gaststätten- und Beherbergungsgewerbes sowie Erbringung von sämtlichen Dienstleistungen im Zusammenhang mit der ambulanten, teilstationären und stationären Pflege und Versorgung von hilfsbedürftigen Personen aller Altersgruppen sowie Halten und Verwaltung von Immobilien Im Zusammenhang hiermit.",Christian Gharieb,HRB 264077 Amtsgericht München,,,https://www.companyhouse.de/Seniorenzentrum-Am-Pfarrgarten-GmbH-Muenchen
CMS Pflegewohnstift Franz-Guizetti-Park,Guizettistr. 4,29221.0,Celle,https://www.google.de/search?q=CMS+Pflegewohnstift+Franz-Guizetti-Park+Guizettistr.+4+29221+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
DRK - Ambulante Dienstleistungen Celle gGmbH,77er Str. 45 a,29221.0,Celle,https://www.google.de/search?q=DRK+-+Ambulante+Dienstleistungen+Celle+gGmbH+77er+Str.+45+a+29221+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Kursana Domizil Celle Haus Stadtgarten,Erich-Eichelberg-Str. 2,29221.0,Celle,https://www.google.de/search?q=Kursana+Domizil+Celle+Haus+Stadtgarten+Erich-Eichelberg-Str.+2+29221+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
"Alloheim Senioren-Residenzen Vierte GmbH & Co.KG, Seniorenzentrum ""In den Dämmen""",Schulstr. 4,29308.0,Winsen,https://www.google.de/search?q=Alloheim+Senioren-Residenzen+Vierte+GmbH+%26+Co.KG%2C+Seniorenzentrum+%22In+den+D%C3%A4mmen%22+Schulstr.+4+29308+Winsen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
AWO Pflege- und Gesundheits- zentrum Bröckel,Hauptstr. 8 b,29356.0,Bröckel,https://www.google.de/search?q=AWO+Pflege-+und+Gesundheits-+zentrum+Br%C3%B6ckel+Hauptstr.+8+b+29356+Br%C3%B6ckel,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
CMS Pflegewohnstift Bremer Weg,Bremer Weg 120-122,29223.0,Celle,https://www.google.de/search?q=CMS+Pflegewohnstift+Bremer+Weg+Bremer+Weg+120-122+29223+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Kreisaltenpflegeheim Winsen/Aller,Brauckmanns Kerkstieg 1,29308.0,Winsen,https://www.google.de/search?q=Kreisaltenpflegeheim+Winsen%2FAller+Brauckmanns+Kerkstieg+1+29308+Winsen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Seniorenresidenz Brockenblick GmbH,Brockenblick 1,31246.0,Ilsede,https://www.google.de/search?q=Seniorenresidenz+Brockenblick+GmbH+Brockenblick+1+31246+Ilsede,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5172 41220,"Bahnhofpl. 4, 89073 Ulm",brockenblick-seniorenresidenz.de,info@brockenblick-seniorenresidenz.de,Dienstleistungen,"Betreiben von in- und/oder ausländischen Pflege- und Kureinrichtungen, Altenwohn- und Altenpflegeheimen und Einrichtung des Betreuten Wohnens sowie Erbringung von damit in Zusammenhang stehenden Dienstleistungen aller Art (einschließlich der Erbringung von stationären und ambulanten Pflegeleistungen, Reinigungs- oder Cateringleistungen und sonstigen Dienstleistungen, z.B. in den Bereichen Facility-Management und Buchführung), Erbringung von Werkvertragsleistungen aller Art gegenüber Einrichtungen des Gesundheitswesens, Erbringung von Personaldienstleistungen aller Art, insbesondere Personalmanagementaufgaben, Personalabrechnungen und Arbeitnehmerüberlassungen nach dem Arbeitnehmerüberlassungsgesetz (AÜG), jedoch nicht die Arbeitsvermittlung.","Monika Nirschl, Sandro Nerger, Dirk Lorscheider",HRB 742711 Amtsgericht Ulm,,,https://www.companyhouse.de/Seniorenresidenz-Brockenblick-GmbH-Ulm
Sophien-Stift GmbH,Blumläger Kirchweg 1,29221.0,Celle,https://www.google.de/search?q=Sophien-Stift+GmbH+Bluml%C3%A4ger+Kirchweg+1+29221+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,"Betrieb von Senioreneinrichtungen, Seniorenwohnanlagen, Alten- und Pflegeheimen, ambulanter Pflegedienste sowie Erbringung von Dienstleistungen jeglicher Art, hilfsbedürftigen Menschen unmittelbar und mittelbar zukommen.Vollständig ansehen",,,,,https://www.companyhouse.de/Sophien-Stift-GmbH-Celle
Seniorenwohnpark Bambis Garten GmbH,Welle 11,31311.0,Uetze,https://www.google.de/search?q=Seniorenwohnpark+Bambis+Garten+GmbH+Welle+11+31311+Uetze,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
ANUBA Hehlentorstift Celle GmbH,Georg-Wilhelm-Str. 13,29223.0,Celle,https://www.google.de/search?q=ANUBA+Hehlentorstift+Celle+GmbH+Georg-Wilhelm-Str.+13+29223+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5141 4010,"Georg-Wilhelm-Str. 13, 29223 Celle",lobetalarbeit.de,info@lobetalarbeit.de,,"ANUBA Hehlentorstift Celle GmbH ist ein diakonisches Unternehmen, Menschen mit und ohne Behinderung eine gemeinsame Lebens-, Lern- und Arbeitsumgebung bietet. Das Unternehmen fördert Inklusion und bietet verschiedene Dienstleistungen in den Bereichen Wohnen, Bildung, Freizeit und Pflege an.","Brigitte Wellens, Joseph Devadas",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/ANUBA-Hehlentorstift-Celle-GmbH-Celle
Seniorenheim Haus Monika GmbH,Peiner Str. 45,31311.0,Uetze,https://www.google.de/search?q=Seniorenheim+Haus+Monika+GmbH+Peiner+Str.+45+31311+Uetze,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Peinerstr. 45, 31311 Uetze",,,Soziale Einrichtungen,"Betrieb von Seniorenheimen, Alten- und Pflegeheimen und gleichartigen Einrichtungen.",Ulrich Tiebel,HRB 201653 Amtsgericht Hildesheim,,,https://www.companyhouse.de/Seniorenheim-Haus-Monika-GmbH-Uetze
Jagdhaus Linsburg,Grund 15,31636.0,Linsburg,https://www.google.de/search?q=Jagdhaus+Linsburg+Grund+15+31636+Linsburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 721 4613920,"Grund 15, 31636 Linsburg",mein-pflegejob.de,info@wohnen-im-alter.de,,No-information,Gabriele Blume,HRB 30729 Amtsgericht Walsrode,,,https://www.companyhouse.de/Alten-und-Pflegeheim-Jagdhaus-Linsburg-GmbH-Linsburg
Seniorenhof Voß am Klosterpark GmbH,Hauptstr. 27/27 a,29342.0,Wienhausen,https://www.google.de/search?q=Seniorenhof+Vo%C3%9F+am+Klosterpark+GmbH+Hauptstr.+27%2F27+a+29342+Wienhausen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5149 18060,"Hauptstr. 27, 27A, 29342 Wienhausen",,,Hotel- und Gaststättengewerbe,Seniorenheim,"Claudia Muus, Frank Neumann, Dagmar Brüger",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Seniorenhof-Voss-am-Klosterpark-GmbH-pflegen-wohnen-Wienhausen
Orthopädie- & Rehatechnik Rulitschka Celle GmbH,Wasastr. 3,29229.0,Celle,https://www.google.de/search?q=Orthop%C3%A4die-+%26+Rehatechnik+Rulitschka+Celle+GmbH+Wasastr.+3+29229+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5141 907261,"Wasastr. 3, 29229 Celle",,,Herstellung von sonstigen Waren,,Andreas Rulitschka,,,,https://www.companyhouse.de/Orthopaedie-und-Rehatechnik-Rulitschka-Celle-GmbH-Celle
Willig OHG,Salinenstr. 31-34,31162.0,Bad Salzdetfurth,https://www.google.de/search?q=Willig+OHG+Salinenstr.+31-34+31162+Bad+Salzdetfurth,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Salinenstr. 31, 31162 Bad Salzdetfurth",,,Hotel- und Gaststättengewerbe,Alten- und Pflegeheim mit ca. 140 Plätzen verteilt auf mehrere Häuser.,Christa Willig,Offene Handelsgesellschaft,,,https://www.companyhouse.de/Alten-und-Pflegeheim-Willig-OHG-Haus-am-Kurpark-Bad-Salzdetfurth
Medi Care Pflegeeinrichtung GmbH Seniorenresidenz Gutshof Bostel,Tränkeweg 3,29229.0,Celle,https://www.google.de/search?q=Medi+Care+Pflegeeinrichtung+GmbH+Seniorenresidenz+Gutshof+Bostel+Tr%C3%A4nkeweg+3+29229+Celle,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
DOREA Beteiligungs- gesellschaft mbH,Alte Heerstr. 17,31234.0,Edemissen,https://www.google.de/search?q=DOREA+Beteiligungs-+gesellschaft+mbH+Alte+Heerstr.+17+31234+Edemissen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
"Altenheim ""An den Eichen"" GmbH",Schmiedestr. 12,38536.0,Meinersen,https://www.google.de/search?q=Altenheim+%22An+den+Eichen%22+GmbH+Schmiedestr.+12+38536+Meinersen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5372 1419,"Warmser Weg 1A, 38536 Meinersen",,,Hotel- und Gaststättengewerbe,Seniorenheim,"Irene Brunner, Leiferde Noelte, Sylvia Heimleiterin Noelte",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Altenheim-An-den-Eichen-GmbH-Meinersen
Seniorenresidenz Alfeld,Schulgasse 3,31061.0,Alfeld,https://www.google.de/search?q=Seniorenresidenz+Alfeld+Schulgasse+3+31061+Alfeld,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
MediCare Seniorenresidenzen GmbH,Ackerstr. 27 E,29331.0,Lachendorf,https://www.google.de/search?q=MediCare+Seniorenresidenzen+GmbH+Ackerstr.+27+E+29331+Lachendorf,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 4621 3062741,"Am Exerzierpl. 7-9, 32423 Minden",,,,"MediCare Seniorenresidenzen GmbH ist ein Unternehmen, sich auf die Bereitstellung von Räumlichkeiten für Veranstaltungen wie Hochzeiten und Familienfeiern spezialisiert hat. Es bietet ein Café und Restaurant mit Tischreservierung, Catering-Services und Veranstaltungen wie das Martinsgansessen und Weihnachtsbrunch an.","Kathrin Dragendorf, Sabrina Oldenburger, Marco Zafarana",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/MediCare-Seniorenresidenzen-GmbH-Minden
CMS Pflegewohnstift Vechelde,Peiner Str. 29 - 29 a,38159.0,Vechelde,https://www.google.de/search?q=CMS+Pflegewohnstift+Vechelde+Peiner+Str.+29+-+29+a+38159+Vechelde,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Alpheide Seniorenzentrum GmbH,Noldeweg 1,31582.0,Nienburg,https://www.google.de/search?q=Alpheide+Seniorenzentrum+GmbH+Noldeweg+1+31582+Nienburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5021 4747,"Dingolfingerstr. 15, 81673 München",,,Hotel- und Gaststättengewerbe,"Pflegeheim, Nienburg/Weser, Niedersachsen",Janine Hoppe,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Alpheide-Seniorenzentrum-GmbH-Muenchen
AWO Senioren- und Pflege gGmbH,Sophientaler Str. 1,38159.0,Vechelde,https://www.google.de/search?q=AWO+Senioren-+und+Pflege+gGmbH+Sophientaler+Str.+1+38159+Vechelde,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Rainweg 91, 07318 Saalfeld/Saale",,,Soziale Einrichtungen,"Förderung der Kinder- und Jugend-, Alten-, Behinderten- und Sozialhilfe und des Wohlfahrtswesens im Sinne der Ziele und Grundsätze der Arbeiterwohlfahrt, Unterstützung hilfsbedürftiger Personen, Erziehung, Volks- und Berufsbildung, Hilfe für Flüchtlinge durch bedarfs- und leistungsgerechte, ambulante, teilstationäre und stationäre Einrichtungen, Dienste und Angebote.",Andreas Krauße,Gemeinnützige Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/AWO-Saalfeld-gGmbH-Soziale-Betreuung-Pflege-und-Dienstleistungen-fuer-Kinder-Jugendliche-Senioren-und-Behinderte-Saalfeld-Saale
Seniorenzentrum Haus am Oelber Bach,Lichtenberger Str. 6,38271.0,Baddeckenstedt,https://www.google.de/search?q=Seniorenzentrum+Haus+am+Oelber+Bach+Lichtenberger+Str.+6+38271+Baddeckenstedt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
ambet e.V.,Kattowitzer Str. 249,38226.0,Salzgitter,https://www.google.de/search?q=ambet+e.V.+Kattowitzer+Str.+249+38226+Salzgitter,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Timpe GmbH,Befferberg 11,31167.0,Bockenem,https://www.google.de/search?q=Timpe+GmbH+Befferberg+11+31167+Bockenem,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,"Birkenallee 4, 46395 Bocholt",,,Papier & Forstprodukte,"Betrieb eines Gemischtwarenhandels, insbesondere Schreibwaren, Spielwaren, Geschenkartikel und Handel mit ähnlichen Artikeln sowie Beteiligung an anderen Gesellschaften aller Art.","Bernhard Albert Timpe, Tobias Andrieu, Sandra Andrieu",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Timpe-GmbH-Co-KG-Spiel-Hobby-Ecke-Bocholt
IUVARE Heimbetriebs GmbH Pflege-und Betreuungszentrum,Ginsterweg 1,31628.0,Landesbergen,https://www.google.de/search?q=IUVARE+Heimbetriebs+GmbH+Pflege-und+Betreuungszentrum+Ginsterweg+1+31628+Landesbergen,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,,,,,,,,,,,
Eden GmbH,Lindenstr. 11,38271.0,Baddeckenstedt,https://www.google.de/search?q=Eden+GmbH+Lindenstr.+11+38271+Baddeckenstedt,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5345 9897920,"Lindenstraße 11, 38271 Baddeckenstedt",eden-pflege.de,kontakt@eden-pflege.de,Pflege- und Betreuungsdienstleistungen,"Eden GmbH ist ein Unternehmen, sich auf Betreuungs- und Entlastungsdienste sowie Hauswirtschaftsservices spezialisiert hat. Ihr Ziel ist es, Menschen durch ihre Dienstleistungen zu unterstützen und zu entlasten.",Jan Kusak,HRB 206327 Amtsgericht Braunschweig,,,https://www.companyhouse.de/Eden-GmbH-Baddeckenstedt
Perfekta Pflege Nienburg GmbH,Marienstr. 3,31582.0,Nienburg,https://www.google.de/search?q=Perfekta+Pflege+Nienburg+GmbH+Marienstr.+3+31582+Nienburg,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 511 10564512,"Marienstr. 3, 31582 Nienburg (Weser)",,,Management & Unternehmensberatung,Betrieb einer Alten- und Pflegeeinrichtung in Nienburg einschließlich der Erbringung der hierfür notwendigen angrenzenden Dienstleistungen.,Dirk Walter Sander,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Perfekta-Pflege-Nienburg-GmbH-Nienburg-Weser
Seniorenwohnsitz Waldkurhaus Lichtenberg GmbH,Prunzelberg 25,38228.0,Salzgitter,https://www.google.de/search?q=Seniorenwohnsitz+Waldkurhaus+Lichtenberg+GmbH+Prunzelberg+25+38228+Salzgitter,Inkontinenzhilfen%2C+saugend%2C+in+Alten-+und+Pflegeheimen,+49 5341 8550,"Brockenblick 8, 38271 Baddeckenstedt",,,Betrieb eines Seniorenwohnheims,Seniorenwohnsitz Waldkurhaus Lichtenberg GmbH bietet Kurzzeit- und vollstationäre Pflege in einer gemütlichen Seniorenwohnanlage in Salzgitter-Lichtenberg. Die Einrichtung zeichnet sich durch eine individuelle und professionelle Pflege in einer privaten Atmosphäre aus.,Dipl.-Ing. Ernst Stein,HRB 6515 Amtsgericht Braunschweig,,,https://www.companyhouse.de/Seniorenwohnsitz-Waldkurhaus-Lichtenberg-GmbH-Baddeckenstedt
